id;fk_function_id;operator;operation;operation_result;gmt_create;gmt_modified
1;51613;Generic Wooden Chips;PNG Awesome Checking Account;magenta;2020-04-22T10:29:56;2020-04-22T15:28:31
2;88425;Reverse-engineered matrix;violet modular;calculating matrix;2020-04-22T22:27:28;2020-04-23T03:02:52
3;11731;Alaska;indexing;Sausages Extension;2020-04-22T12:40:54;2020-04-23T06:44:05
4;55645;web services;turquoise;Rubber;2020-04-23T00:06:37;2020-04-22T22:48:44
5;23262;Tasty;Security Advanced Manors;concept deposit;2020-04-22T15:58:28;2020-04-22T09:04:09
6;77262;index redundant index;Savings Account convergence;Progressive Washington;2020-04-22T14:16:47;2020-04-23T04:30:43
7;87406;Pine;Rubber Auto Loan Account Roads;Bedfordshire Jewelery national;2020-04-22T20:44:34;2020-04-22T09:59:27
8;25218;Rustic Frozen Shirt FTP;deposit River Fantastic Cotton Ball;Cotton;2020-04-22T13:02:59;2020-04-22T16:27:42
9;35625;interface deposit SDD;utilize;compressing Buckinghamshire;2020-04-22T07:58:07;2020-04-22T14:36:25
10;23398;Factors Fresh Savings Account;Ball Bedfordshire Senior;Sleek Rubber Salad;2020-04-23T01:54:50;2020-04-22T07:03:25
